danceability,energy,loudness,tempo,valence
0.786,0.667,-8.272,102.046,0.688
0.571,0.739,-11.163,93.105,0.818
0.286,0.929,-8.494,99.762,0.127
0.725,0.607,-7.486,129.971,0.57
0.184,0.161,-18.261,86.351,0.087
0.886,0.708,-5.915,109.976,0.965
0.808,0.697,-5.899,95.06,0.554
0.716,0.562,-8.741,105.004,0.533
0.431,0.829,-7.713,131.891,0.356
0.616,0.233,-12.894,93.995,0.407
0.528,0.325,-12.501,83.651,0.0412
0.232,0.235,-14.975,113.492,0.0973
0.17,0.0371,-26.981,83.567,0.0397
0.634,0.775,-6.943,84.972,0.653
0.819,0.696,-8.536,120.274,0.948
0.551,0.625,-6.375,131.319,0.367
0.461,0.933,-8.366,139.982,0.12
0.436,0.0695,-19.735,97.128,0.255
0.447,0.85,-4.303,84.806,0.486
0.429,0.535,-11.043,81.182,0.926
0.623,0.758,-6.791,124.024,0.196
0.609,0.518,-6.692,130.016,0.406
0.898,0.435,-8.834,115.034,0.836
0.303,0.187,-12.192,86.147,0.0477
0.299,0.337,-17.328,159.072,0.396
0.236,0.499,-12.763,98.581,0.0757
0.936,0.693,-5.298,126.036,0.611
0.423,0.372,-10.938,149.737,0.114
0.592,0.901,-5.554,109.902,0.62
0.564,0.763,-7.544,83.959,0.865
0.482,0.721,-6.839,95.263,0.557
0.678,0.656,-6.41,123.207,0.485
0.542,0.927,-3.971,135.002,0.369
0.641,0.617,-7.411,139.942,0.941
0.498,0.83,-5.157,89.342,0.453
0.373,0.856,-7.503,151.733,0.402
0.579,0.224,-13.55,124.035,0.15
0.295,0.402,-10.493,149.525,0.069
0.553,0.846,-5.146,95.046,0.488
0.683,0.643,-7.425,107.027,0.771
0.185,0.779,-4.295,159.076,0.263
0.782,0.697,-5.85,76.031,0.416
0.759,0.843,-3.718,105.016,0.56
0.929,0.439,-9.199,112.054,0.763
0.398,0.023,-32.806,130.112,0.173
0.649,0.656,-7.244,150.039,0.399
0.765,0.833,-5.162,126.422,0.837
0.481,0.59,-7.145,175.788,0.454
0.404,0.918,-5.593,144.332,0.523
0.191,0.978,-3.395,155.759,0.269
0.601,0.9,-6.781,127.014,0.0394
0.148,0.00377,-40.046,81.078,0.239
0.78,0.725,-6.032,100.92,0.431
0.613,0.339,-14.908,106.582,0.292
0.591,0.389,-12.146,79.96,0.581
0.634,0.506,-5.882,124.003,0.244
0.704,0.587,-8.652,175.454,0.592
0.647,0.816,-4.824,119.826,0.725
0.697,0.519,-9.324,112.247,0.871
0.636,0.516,-9.945,77.883,0.472
0.582,0.749,-6.841,151.025,0.866
0.32,0.932,-5.221,119.516,0.0814
0.804,0.745,-5.805,95.024,0.512
0.544,0.411,-10.106,139.948,0.422
0.622,0.318,-16.183,124.938,0.508
0.898,0.351,-13.396,139.968,0.682
0.238,0.311,-7.547,87.389,0.0559
0.668,0.522,-7.42,107.979,0.718
0.813,0.81,-5.382,93.005,0.632
0.273,0.617,-6.884,96.271,0.181
0.755,0.792,-4.238,106.015,0.842
0.457,0.451,-8.009,149.956,0.307
0.532,0.358,-11.136,90.475,0.449
0.512,0.77,-5.796,87.856,0.551
0.503,0.582,-4.324,77.321,0.326
0.804,0.786,-3.837,91.992,0.575
0.632,0.804,-6.288,155.979,0.79
0.304,0.305,-10.879,146.066,0.464
0.532,0.342,-8.153,199.743,0.239
0.546,0.17,-15.055,130.07,0.135
0.598,0.537,-8.281,131.955,0.397
0.417,0.882,-4.319,174.015,0.449
